"published name in package
",short descriptions,variable class,2000,2003,2006,2009,2012,2015,2018,2022,notes
country_iso3c,Country three character,character,cnt,CNT,CNT,CNT,CNT,CNT,CNT,CNT,
school_id,school ID,"integer
",SCHOOLID,SCHOOLID,SCHOOLID ,SCHOOLID ,SCHOOLID,CNTSCHID,CNTSCHID,CNTSCHID,change coding from 2012 to 2015
student_id,Student ID,"integer
",STIDSTD,STIDSTD,STIDSTD,STIDSTD,STIDSTD,CNTSTUID,CNTSTUID,CNTSTUID,change coding from 2012 to 2015
mother_educ,Mother <Highest Schooling>,"integer
",,ST11R01,ST06Q01,ST10Q01,ST13Q01,ST005Q01TA,ST005Q01TA,ST005Q01JA,
father_educ,Father <Highest Schooling>,"integer
",,ST13R01,ST09Q01,ST14Q01,ST17Q01,ST007Q01TA,ST007Q01TA,ST007Q01JA,
gender,Gender ,character,ST03Q01,ST03Q01,ST04Q01,ST04Q01,ST04Q01,ST004D01T,ST004D01T,ST004Q01TA,encoded as binary
computer,Possessions computer,character ,ST22Q04,ST17Q03,ST13Q04,ST20Q04,ST26Q04,ST011Q04TA,ST011Q04TA,ST250Q02JA,
internet,Possessions Internet,character ,ST21Q04,ST17Q06,ST13Q06,ST20Q06,ST26Q06,ST011Q06TA,ST011Q06TA,ST250Q05JA,
math,Plausible value 1 in mathematics,numeric,pv1math,ty,PV1MATH,PV1MATH,PV1MATH,PV1MATH,PV1MATH,PV1MATC,
read,Plausible value 1 in reading,numeric,pv1read,PV1READ,PV1READ,PV1READ,PV1READ,PV1READ,PV1READ,PV1REAC,
science,Plausible value 1 in science,numeric,pv1scie,PV1SCIE,PV1SCIE,PV1SCIE,PV1SCIE,PV1SCIE,PV1SCIE,PV1SCIC,
stu_wgt,Final student weight,numeric,W_FSTUWT,W_FSTUWT,W_FSTUWT,W_FSTUWT,W_FSTUWT,W_FSTUWT,W_FSTUWT,N/A,
,,,,,,,,,,,
desk,Possessions desk,character ,ST21Q07,ST17Q01,ST13Q01,ST20Q01,ST26Q01,ST011Q01TA,ST011Q01TA,N/A,
room,Possessions own room,character ,ST21Q02,ST17Q02,ST13Q02,ST20Q02,ST26Q02,ST011Q02TA,ST011Q02TA,ST250Q01JA,
,Possessions textbooks,,,ST17Q11,ST13Q11,,ST26Q10,,ST011Q11TA,,
dishwasher,Possessions dishwasher,character ,ST21Q01,ST17Q13,ST13Q13,ST20Q13 ,ST26Q13,,N/A,N/A,
,How many cell phones,,,,ST14Q01,,ST27Q01,,,ST254Q06JA,
television,How many televisions,integer,ST22Q02,,ST14Q02,ST21Q02,ST27Q02,ST012Q01TA,ST012Q01TA,ST254Q01JA,
computer_n,How many computers,"integer
",ST22Q04,,ST14Q03,ST21Q03 ,ST27Q03,ST012Q06NA,ST012Q06NA,"ST254Q02JA
ST254Q03JA ",
car,How many cars,integer,ST22Q06,,ST14Q04,ST21Q04,ST27Q04,ST012Q02TA,ST012Q02TA,ST251Q01JA,
book,How many books at home,integer,ST37Q01,ST19Q01,ST15Q01,ST22Q01,ST28Q01,ST013Q01TA,ST013Q01TA,ST255Q01JA,
wealth,Wealth,numeric,WEALTH,,WEALTH,WEALTH,WEALTH,WEALTH,WEALTH,N/A,created by other columns
ESCS,"Index of economic, social and cultural status",numeric,HISEI,ESCS,ESCS,ESCS,ESCS,ESCS,ESCS,ESCS,
