# PRIMARY KEY NOTE: The combination of country and school_id forms a unique primary key for each row. None of these identifiers can contain missing values (NAs).
year,target_name,source_col,transformation,na_values,description,type,note
2022,country,CNT,as.character,,Country three character,character,
2022,school_id,CNTSCHID,as.character,,school ID,character,
2022,public_private,SC013Q01TA,public_private,,public/private,factor,
2022,fund_gov,SC016Q01TA,as.numeric,,Percentage of School year funding comes from: Government,numeric,
2022,fund_fees,SC016Q02TA,as.numeric,,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2022,fund_donation,SC016Q03TA,as.numeric,,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2022,enrol_boys,SC002Q01TA,as.numeric,,Number of boys,numeric,
2022,enrol_girls,SC002Q02TA,as.numeric,,Number of girls,numeric,
2022,staff_shortage,SC018Q01TA01 SC018Q01TA02 SC018Q02TA01 SC018Q02TA02,as.numeric,,Teacher/staff shortage,numeric,
2022,stratio,SC002Q01TA SC002Q02TA SC018Q01TA01 SC018Q01TA02,as.numeric,,Student-teacher ratio,numeric,
2022,school_size,SC002Q01TA SC002Q02TA,as.numeric,,School size,numeric,
2022,sch_wgt,W_SCHGRNRABWT,as.numeric,,School weight,numeric,
2018,country,CNT,as.character,,Country three character,character,
2018,school_id,CNTSCHID,as.character,,school ID,character,
2018,public_private,SC013Q01TA,public_private,,public/private,factor,
2018,fund_gov,SC016Q01TA,as.numeric,,Percentage of School year funding comes from: Government,numeric,
2018,fund_fees,SC016Q02TA,as.numeric,,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2018,fund_donation,SC016Q03TA,as.numeric,,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2018,enrol_boys,SC002Q01TA,as.numeric,,Number of boys,numeric,
2018,enrol_girls,SC002Q02TA,as.numeric,,Number of girls,numeric,
2018,staff_shortage,STAFFSHORT,as.numeric,,Teacher/staff shortage,numeric,
2018,stratio,STRATIO,as.numeric,,Student-teacher ratio,numeric,
2018,school_size,SCHSIZE,as.numeric,,School size,numeric,
2018,sch_wgt,W_SCHGRNRABWT,as.numeric,,School weight,numeric,
2015,country,CNT,as.character,,Country three character,character,
2015,school_id,CNTSCHID,as.character,,school ID,character,
2015,public_private,SC013Q01TA,public_private,,public/private,factor,
2015,fund_gov,SC016Q01TA,as.numeric,,Percentage of School year funding comes from: Government,numeric,
2015,fund_fees,SC016Q02TA,as.numeric,,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2015,fund_donation,SC016Q03TA,as.numeric,,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2015,enrol_boys,SC002Q01TA,as.numeric,,Number of boys,numeric,
2015,enrol_girls,SC002Q02TA,as.numeric,,Number of girls,numeric,
2015,staff_shortage,STAFFSHORT,as.numeric,,Teacher/staff shortage,numeric,
2015,stratio,STRATIO,as.numeric,,Student-teacher ratio,numeric,
2015,school_size,SCHSIZE,as.numeric,,School size,numeric,
2015,sch_wgt,W_SCHGRNRABWT,as.numeric,,School weight,numeric,
2012,country,CNT,as.character,,Country three character,character,
2012,school_id,SCHOOLID,as.character,,school ID,character,
2012,public_private,SC01Q01,public_private,,public/private,factor,
2012,fund_gov,SC02Q01,as.numeric,9997;9998;9999,Percentage of School year funding comes from: Government,numeric,
2012,fund_fees,SC02Q02,as.numeric,9997;9998;9999,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2012,fund_donation,SC02Q03,as.numeric,9997;9998;9999,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2012,enrol_boys,SC07Q01,as.numeric,9997;9998;9999,Number of boys,numeric,
2012,enrol_girls,SC07Q02,as.numeric,9997;9998;9999,Number of girls,numeric,
2012,staff_shortage,TCSHORT,as.numeric,9997;9998;9999,Teacher/staff shortage,numeric,
2012,stratio,STRATIO,as.numeric,9997;9998;9999,Student-teacher ratio,numeric,
2012,school_size,SCHSIZE,as.numeric,99997;99998;99999,School size,numeric,
2012,sch_wgt,W_FSCHWT,as.numeric,,School weight,numeric,
2009,country,CNT,as.character,,Country three character,character,
2009,school_id,SCHOOLID,as.character,,school ID,character,
2009,public_private,SC02Q01,public_private,,public/private,factor,
2009,fund_gov,SC03Q01,as.numeric,9997;9998;9999,Percentage of School year funding comes from: Government,numeric,
2009,fund_fees,SC03Q02,as.numeric,9997;9998;9999,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2009,fund_donation,SC03Q03,as.numeric,9997;9998;9999,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2009,enrol_boys,SC06Q01,as.numeric,9997;9998;9999,Number of boys,numeric,
2009,enrol_girls,SC06Q02,as.numeric,9997;9998;9999,Number of girls,numeric,
2009,staff_shortage,TCSHORT,as.numeric,9997;9998;9999,Teacher/staff shortage,numeric,
2009,stratio,STRATIO,as.numeric,9997;9998;9999,Student-teacher ratio,numeric,
2009,school_size,SCHSIZE,as.numeric,99997;99998;99999,School size,numeric,
2009,sch_wgt,W_FSCHWT,as.numeric,,School weight,numeric,
2006,country,CNT,as.character,,Country three character,character,
2006,school_id,SCHOOLID,as.character,,school ID,character,
2006,public_private,SC02Q01,public_private,,public/private,factor,
2006,fund_gov,SC03Q01,as.numeric,9997;9998;9999,Percentage of School year funding comes from: Government,numeric,
2006,fund_fees,SC03Q02,as.numeric,9997;9998;9999,Percentage of School year funding comes from: Student fees or School charges paid by parents or Guardians,numeric,
2006,fund_donation,SC03Q03,as.numeric,9997;9998;9999,"Percentage of School year funding comes from: Benefactors, donations, bequests",numeric,
2006,enrol_boys,SC01Q01,as.numeric,9997;9998;9999,Number of boys,numeric,
2006,enrol_girls,SC01Q02,as.numeric,9997;9998;9999,Number of girls,numeric,
2006,staff_shortage,TCSHORT,as.numeric,997;998;999,Teacher/staff shortage,numeric,
2006,stratio,STRATIO,as.numeric,9997;9998;9999,Student-teacher ratio,numeric,
2006,school_size,SCHSIZE,as.numeric,99997;99998;99999,School size,numeric,
2006,sch_wgt,W_FSCHWT,as.numeric,,School weight,numeric,
2003,country,CNT,as.character,,Country three character,character,
2003,school_id,SCHOOLID,as.character,,school ID,character,
